Unnamed: 0,name,type,state,found,faculty_count,department_count,has_grad,has_remote,review_rating,review_count,difficulty_SD,difficulty_rank
382,Hoshi University,Private,Tokyo To,1941-04,2,4,True,False,3.9,145.0,56.0,3
383,Musashi University,Private,Tokyo To,1921-12,6,13,True,False,3.96,341.0,56.0,3
384,Tokyo City University,Private,Tokyo To,1929-09,9,25,True,False,3.88,396.0,50.1,4
385,Musashino Academia Musicae,Private,Tokyo To,1929-02,4,12,True,False,3.86,96.0,35.0,7
386,Meiji University,Private,Tokyo To,1903-08,26,65,True,False,4.01,2765.0,60.8,2
387,Meiji Gakuin University,Private,Tokyo To,1903-11,13,28,True,False,3.9,976.0,54.2,3
388,Meiji Pharmaceutical University,Private,Tokyo To,1902-03,2,4,True,False,3.93,175.0,50.6,4
389,Rikkyo University,Private,Tokyo To,1949-02,24,54,True,False,4.09,1811.0,60.6,2
390,Rissho University,Private,Tokyo To,1904-04,16,33,True,False,3.76,602.0,42.3,6
391,Waseda University,Private,Tokyo To,1902-10,35,94,True,True,4.14,4280.0,65.7,1
393,Gakushuin Women’s College,Private,Tokyo To,1998-04,2,4,True,False,4.19,159.0,45.0,5
395,Tokyo Professional University of Health Sciences,Private,Tokyo To,2020-04,1,2,False,False,3.806595460614152,249.7570093457944,36.5,7
396,Professional University of Information and Management for Innovation,Private,Tokyo To,2020-04,1,1,False,False,3.5,2.0,35.0,7
400,Komazawa Women’s University,Private,Tokyo To,1992-12,5,12,True,False,3.74,171.0,41.8,6
401,Asia University,Private,Tokyo To,1955-03,9,11,True,False,3.75,392.0,40.1,6
402,J.F.Oberlin University,Private,Tokyo To,1966-01,9,7,True,False,3.8,521.0,39.4,6
403,Kunitachi College of Music,Private,Tokyo To,1926-04,3,12,True,False,4.09,179.0,39.0,7
404,International Christian University,Private,Tokyo To,1953-03,2,6,True,False,4.43,206.0,68.0,1
405,Shirayuri University,Private,Tokyo To,1946-03,3,12,True,False,3.92,194.0,39.7,6
406,Seikei University,Private,Tokyo To,1925-02,9,19,True,False,3.95,559.0,53.3,4
407,Tamagawa University,Private,Tokyo To,1945-03,16,33,True,True,3.78,495.0,46.0,5
408,Tsuda University,Private,Tokyo To,1900-09,5,10,True,False,4.11,384.0,50.0,4
409,Teikyo University,Private,Tokyo To,1966-01,24,57,True,True,3.71,1133.0,42.9,6
410,Tokyo Keizai University,Private,Tokyo To,1900-07,8,11,True,False,3.87,339.0,48.7,5
411,Tokyo Women’s College of Physical Education,Private,Tokyo To,1962-01,1,1,False,False,3.8,112.0,35.5,7
